,Bug ID,Duplicate_Bug_Ids,Average_Cos_Similarity_Trigram,Summary1,description1,summary2,description2,is_similar
171,518106.0,517029.0,0.009123070267168298,['Xtext HIPP Help'],['can not access our hipp     tried to restart  but it doesn t help '],['HIPP3 is unavailable'],['hi   cannot open  '],1
172,518112.0,517029.0,0.00687111397427991,['Kura HIPP Help'],['hello  the kura hipp is unavailable  i ve tried restarting it without luck   regards    cristiano'],['HIPP3 is unavailable'],['hi   cannot open  '],1
175,518211.0,516338.0,0.014046547192542917,['Code completion for std::unique_ptr under gcc 7.1.1'],['when gcc       is installed     memory  header seems not to be parsed correctly  as result code completion for std  unique ptr does not work as expected    include  memory   class foo   public    void bar         int main      std  unique ptr foo  p    p                    expected combobox with bar  symbol  but it is empty    std  auto ptr   and std  shared ptr works as expected   problem is definition of type std  unique ptr  pointer which is now much more complicated then before  so that pointer type cannot be evaluated '],"['Name resolution error involving ""void_t"" technique (a.k.a. ""unique_ptr is broken with gcc 7"")']",['here s how the cool kids these days are doing c   metaprogramming   template  typename   using void t   void   template  typename t  typename   void  struct waldo       using type   t      template  typename t  struct waldo t  void t typename t  type         this is a succinct way of using sfinae to select the partial specialization if t has a nested type named  type   and fall back to the primary template otherwise   unfortunately  cdt doesn t like this   waldo int   type foo       error here  it works if you replace the void t alias template with an ordinary metafunction  so the issue must be related to our alias template support '],1
176,518281.0,518280.0,0.014638674751238813,['[9] Automatic modules not recognized in module-info for external jars'],['steps      added external jar to the build path     edited  classpath to define it as automatic module    adding requires in module info java gives compilation error  adding workspace jar is recognized'],['[9] Automatic modules not picked when added as external JARs'],['bug   added support for automatic modules  however  this doesn t work when the jar being promoted is added to the build path as an external jar  adding a requires clause with the name of the jar reports a compilation error in the module info   perhaps we can use this bug to also fix the naming convention when it is finalized  it is being discussed on bug    comment    on '],1
177,518285.0,517368.0,0.012013681698375519,['Unused depencencies detection and PHPDoc'],['consider this code     php  use doctrine orm mapping as orm           orm entity     orm table      class myentity       since the orm import is used in phpdoc only  pdt tells me that  the import doctrine orm mapping is never used    it would be nice to have a way to tell pdt to look for type usage in phpdoc too   '],"[""Use statement doesn't take care Annotation / Alias""]",['created attachment   use statements validation errors  with the last update of pdt   i encounter   kind of issues with validation of use statements      annotation are not taken into account anymore   use doctrine orm mapping as orm     the import doctrine orm mapping is never used          orm entity     orm table     class myentity               alias of use statement are marked as error   use knp doctrinebehaviors model as ormbehaviors     knp doctrinebehaviors model cannot be resolved class formconfig       use ormbehaviors translatable translatable     translatable cannot be resolved           i added an attachment to show the issue  it s a bit weird because it worked well in a previous release '],1
179,518494.0,533425.0,0.011375121825537605,['[Dark Theme] Second page of p2 installation dialog show white artifacts'],['created attachment   screenshot  see screenshot '],['[Dark Theme] Install from local installation shows white artifacts on Install Details page'],['created attachment   screenshot  if you install items from another eclipse installation the third   shows white areas  see screenshot '],1
181,518715.0,518716.0,0.009248460141009612,['[GTK3] Replace deprecated gdk_screen_height()'],['the function gdk screen height  is deprecated as of     '],['[GTK3] Replace deprecated gdk_screen_width/height()'],['the function gdk screen width  is deprecated as of     '],1
182,518721.0,529749.0,0.006310782996560888,['[GTK3] Replace deprecated gdk_window_process_all_updates()'],['the function gdk window process all updates  is deprecated '],['Make gdk_window*_updates methods dynamic'],['deprecated and not used for versions newer than     '],1
183,518722.0,529749.0,0.005942643082051537,['[GTK3] Replace deprecated gdk_window_process_updates()'],['the function gdk window process updates  is deprecated '],['Make gdk_window*_updates methods dynamic'],['deprecated and not used for versions newer than     '],1
184,518872.0,534459.0,0.013393079112207327,['Produce readme for 4.8'],['for more details on the readme see bug   '],['Readme for 4.8'],['readme file needs to be added for       for more details on the readme see bug   '],1
186,519000.0,517610.0,0.013203736097320505,['ctrl + click not working'],['steps  keep ctrl pressed and hover a variable type or header inclusion the respective text does not turn itself into a link clicking does not go to definition   works in all scenarios described above'],"[""Crtl +Click can't work in certain files (ClassCastException in Changelog) workaround in comment 5""]",['once cpp file has the string            the ctrl   click can t work   the bug started since oxygen   '],1
187,519087.0,519030.0,0.009005899613520047,['gerrit internal server errors'],['   gives   internal server error or takes very long to load for me since this morning'],['Gerrit seem to hang'],['i m trying to use gerrit but after loading some data it stops responding and after some wait time it prints  code review   error   internal server error  please check what is wrong there  i can t actually work because i can t access my gerrits anymore    '],1
189,519466.0,519907.0,0.009397213473912112,['[Node Missing Function]need to check if user has access to a path or not'],['user a login  click a file   and logout  user b login  he s hash will be user a s hash  which is bad  user b should start from fresh '],['[Node] Solve workspace access defect'],['user a shouldn t be able to access user b s workspace '],1
192,519939.0,519254.0,0.013870374621279947,['[9] configure module gives error if project is just a number'],['follow up of bug        create a java   project with a number  say     right click on project    configure    create module info  module      is produced but that gives a compiler error   syntax error on token      identifier expected  solution  needs to generate a valid identifier '],['[9] Module declaration name should be validated while creation'],['      wrong generate module info java with hyphen in project name  sampel projekt name  opensky api   project    cofigure    create module info  module opensky api  exports de wenzlaff tools exports org opensky api exports org opensky model exports de wenzlaff tools requires java base requires java corba requires jdk compiler  '],1
194,520170.0,511067.0,0.01408505102982402,['Add support for jsx in .js files'],['created attachment   shows the jsx parsing failing   add support for jsx styling in  js files   if you enter the follow code in a  js file  orion shows a lot of syntax warnings       return          div           messageview             p  input type  button  value  change message     p          div        '],['Investigate adding better support for React'],['react is a popular js framework   we should have first class support for it   what is missing in the support that we have right now '],1
195,520429.0,520403.0,0.007938190306729627,['[Glance] Combo is partially hidden'],['created attachment   combo partially hidden  the combo box is partially hidden  see screenshot '],['[Glance] Panel in status line has layout issues'],['created attachment   glance status line  please see attached screenshot  if needed  i use ubuntu gnome     and an eclipse     integration build '],1
198,520722.0,541239.0,0.00991316163715476,['[C++17] Add support for class template argument deduction'],['class template argument deduction allows deducing the template arguments of a class template from the function arguments of a constructor call  e g    std  tuple t       deduces std  tuple int  double   spec    std org       docs papers     html'],['[C++17] Implement parser support for deduction guides'],['    introduces a new form of declarations  called deduction guides  which are used to customize class template argument deduction  to support class template argument deduction  we should be able to parse such declarations '],1
199,520769.0,510759.0,0.015285270624610025,['Multiline proposals should respect indentation'],['when inserting a multi line proposal  the current indentation should be added to subsequent lines  e g      class foo       cursor         where the text to insert is e g       function foo           i expect      class foo      function foo               vscode and monaco do it like that  too '],"['support ""magic"" indentation like vscode']",['vscode applies some sort of  magic  indentation when doing content assist text manipulations  therefore our language server is implemented with that  magic  indentation in mind  this causes the indentation in the eclipse implementation to behave different   here is a good reference to the issue      server protocol issues    it would be great if   could apply the same logic  so that content assist actions end up producing the same result in the code '],1
200,520865.0,525457.0,0.008841163201243785,['android: duplicated java.persistence file'],['eclipselink jar contains some  javax persistence classes  it causes duplicate files when android builds apk  for android  the eclipselink jar should not contains any javax persistence classes '],['The eclipselink and javax.persistence jars contain java.persistence classes but clash as one jar is signed and one unsigned'],['summary   the eclipselink       artifact depends on javax persistence       and both contain classes that are in the package javax persistence  however the javax persistence jar is signed while the eclipselink one is not  so the java runtime will complain  when loading a class from the package javax persistence in the eclipselink jar  that it s lack of signing doesn t match with classes already loaded from the same package in the javax persistence jar   details   if i put a breakpoint in java util concurrent concurrenthashmap putifabsent  with condition  javax persistence  equals  then i see that javax persistence is mapped to the following codesource value    file  users georgehawkins    repository org eclipse persistence javax persistence       javax persistence       jar       version      subject  cn  eclipse foundation  inc    ou it  o  eclipse foundation  inc    l ottawa  st ontario  c ca   signature algorithm     oid                       i e  javax persistence       jar is signed by the eclipse foundation and contains classes in the package javax persistence  this jar is pulled in when some part of my application   tries to load javax persistence entitymanagerfactory   if i then put a breakpoint in java lang classloader checkcerts  on the throw new securityexception line i then see that it hits this line when the passed in codesource is      i e  eclipselink       jar also contain classes that are in the javax persistence package but it is unsigned so a clash occurs that results in a securityexception being thrown  this happens when something   tries to load javax persistence persistenceutil   if i look at the output of mvn dependency tree i see that this mismatch seems to be down to eclipselink itself   it is pulling in org eclipse persistence javax persistence jar       itself  i e  it isn t some clash with some other dependency    info        org eclipse persistence eclipselink jar       compile  info           org eclipse persistence javax persistence jar       compile  info           org eclipse persistence commonj sdo jar       compile  info           javax validation validation api jar       final compile  info           org glassfish javax json jar       compile'],1
201,521395.0,517610.0,0.0038586500535385893,"[""Ctrl+Click Indexing doesn't work in C++ modules""]",['open declaration still works'],"[""Crtl +Click can't work in certain files (ClassCastException in Changelog) workaround in comment 5""]",['once cpp file has the string            the ctrl   click can t work   the bug started since oxygen   '],1
203,521636.0,512082.0,0.01289294643079894,['Search for word in quotes has false matches'],['  search for  banner    in orion client   js files   get   matches   expand all by clicking       note that only a few of the files contain valid matches the invalid matches are matching the string banner   '],['Search finds results but expanding the tree node shows no children (with quoted string)'],['created attachment   image describing the error in question   orion eclipse org orionhub org     ctrl h    enter the following string   into the  type a search term  text field    replaceall      set your scope to  org eclipse orion client bundles  of course  clone it out from git if you haven t already         run the search     you should get   searches back     expand all the tree nodes  notice that many of the tree nodes won t show any children '],1
204,521771.0,521639.0,0.011149884496801219,['Mac Test jobs failing continuously'],['the mac test jobs are continuously failing for all the builds            and      multiple re runs of the job for     failed with the same error   error log            exec  cvstest properties  users hudsonbuild cvstest properties              exec        exec  result                 exec        move  warning   users hudsonbuild workspace   unit   workarea     eclipse testing results chkpii does not exist               exec        java  java result                 exec        java  java result                 exec        java  java result                 exec        java  java result                 exec        java  java result                 exec        java  java result           fatal  command execution failed        hudson util    failed to join the process         at hudson proc remoteproc join          at hudson launcher procstarter join          at hudson tasks commandinterpreter perform          at hudson tasks commandinterpreter perform          at hudson tasks buildstepmonitor   perform          at hudson model abstractbuild abstractrunner perform          at hudson model build runnerimpl build          at hudson model build runnerimpl dorun          at hudson model abstractbuild abstractrunner run          at hudson model run run          at hudson model freestylebuild run          at hudson model resourcecontroller execute          at hudson model executor run         caused by  java util concurrent executionexception  hudson remoting requestabortedexception  hudson remoting channel orderlyshutdown         at hudson remoting request   get          at hudson remoting request   get          at hudson remoting futureadapter get          at hudson proc remoteproc join                more        caused by  hudson remoting requestabortedexception  hudson remoting channel orderlyshutdown         at hudson remoting request abort          at hudson remoting channel terminate          at hudson remoting channel closecommand execute          at hudson remoting channel readerthread run         caused by  hudson remoting channel orderlyshutdown               more        caused by  command close created at         at hudson remoting command  init           at hudson remoting command  init           at hudson remoting channel closecommand  init           at hudson remoting channel closecommand  init           at hudson remoting channel close          at hudson remoting channel closecommand execute                more        fatal  unable to delete script file  var folders  h   t   sh        hudson util    remote file operation failed   var folders  h   t   sh at hudson remoting channel   mac           at hudson filepath act          at hudson filepath act          at hudson filepath delete          at hudson tasks commandinterpreter perform          at hudson tasks commandinterpreter perform          at hudson tasks buildstepmonitor   perform          at hudson model abstractbuild abstractrunner perform          at hudson model build runnerimpl build          at hudson model build runnerimpl dorun          at hudson model abstractbuild abstractrunner run          at hudson model run run          at hudson model freestylebuild run          at hudson model resourcecontroller execute          at hudson model executor run         caused by  hudson remoting channelclosedexception  channel is already closed         at hudson remoting channel send          at hudson remoting request call          at hudson remoting channel call          at hudson filepath act                more        caused by  hudson remoting channel orderlyshutdown         at hudson remoting channel closecommand execute          at hudson remoting channel readerthread run         caused by  command close created at         at hudson remoting command  init           at hudson remoting command  init           at hudson remoting channel closecommand  init           at hudson remoting channel closecommand  init           at hudson remoting channel close          at hudson remoting channel closecommand execute                more        terminating xvnc         fatal  remote file operation failed   users hudsonbuild workspace   unit    xauthority   at hudson remoting channel   mac          hudson util    remote file operation failed   users hudsonbuild workspace   unit    xauthority   at hudson remoting channel   mac           at hudson filepath act          at hudson filepath act          at hudson filepath delete          at hudson plugins xvnc xvnc   teardown          at hudson model build runnerimpl dorun          at hudson model abstractbuild abstractrunner run          at hudson model run run          at hudson model freestylebuild run          at hudson model resourcecontroller execute          at hudson model executor run         caused by  hudson remoting channelclosedexception  channel is already closed         at hudson remoting channel send          at hudson remoting request call          at hudson remoting channel call          at hudson filepath act                more        caused by  hudson remoting channel orderlyshutdown         at hudson remoting channel closecommand execute          at hudson remoting channel readerthread run         caused by  command close created at         at hudson remoting command  init           at hudson remoting command  init           at hudson remoting channel closecommand  init           at hudson remoting channel closecommand  init           at hudson remoting channel close          at hudson remoting channel closecommand execute                more'],['Mactests2 is extremely slow'],['  attached to shared hoop is offline  the tests are unavaibale  build     doesn t have the tests on mac platform '],1
205,521782.0,521729.0,0.008702367124867494,['[Property View] Performance issues when selecting different elements'],['the properties view is updated with a considerable delay when switching between different model elements '],['[Properties View] Performances issue in Oxygen'],['this ticket is a follow up on bug    initially reported in papyrus rt  the solution there was to use a bigger mru cache when searching for resources in a   plug in  these resources typically being java classes and xwt files  however  that s only a part of the issue  after loading a java class  xwt still spends a lot of time into reflexively inspecting it  to instantiate its own  imetaclass   classes   are loaded again every time a properties page is displayed  in practice  papyrus uses a limited set of java classes in the properties view    so it should be sufficient to load them once and for all  and reuse the same xwt imetaclass everytime afterwards   this seems mostly described by bug   comment      '],1
206,521801.0,521803.0,0.013251796625737128,['XER: infinite recursion in generated code'],['type union audio    value val   audio audio   with     variant  untagged       during decoding if in the decodable xml there is an audio tag  the generated code will be stuck in an infinite loop and it will crash without any error warning or log '],['XER: Infinite recursion in generated code'],['type union audio    value val   audio audio   with     variant  untagged       during decoding if in the decodable xml there is an audio tag  the generated code will be stuck in an infinite recursion and it will crash without any error or warning or log '],1
208,522668.0,511252.0,0.01413191411260469,['[1.8][inference] Type inference failed due to recursive bounded type variable'],['code to reproduce bug   import java util function function   public class inferencebug    interface noop t       interface bar v       public static void main      bar string      foo      bar string        foo      bar string      identity          public static  n extends noop n   a  bar string  bar      throw new abstractmethoderror        public static  n extends noop n   r  bar r  foo      throw new abstractmethoderror         public static  t  t identity      return t        jdt inference the type of foo   to bar object  then reject code  javac accept the code above '],"['[1.8][compiler][inference] ""Type mismatch"" in eclipse 4.6.2, compiles with javac']",['version  neon   release   build id       small project to reproduce with just a single java class is available at    the error i get is  type mismatch  cannot convert from completionstage object  to completionstage optional t  '],1
210,525420.0,520176.0,0.012079321582262095,"[""Tool Bar is grey and can't click for setting""]",['created attachment   tool bar is grey  i wan t set my eclipse  but the all tool bar can t click '],['[10.13] Menu Bar Disabled From Use Completely'],['created attachment   disabled menu  all of the menu bar has been disabled  i ve attempted updating my java  i ve attempted downloading a new version of eclipse  none of this has worked  i ve reinstalled eclipse  i cannot find why this is an issue '],1
211,525496.0,510181.0,0.0012399257005196247,['[Hyperlink] Hyperlinks should be in the right-click > navigation menu'],['title '],['[diagram][userxp] Add Hyperlink menu in Edit group menu'],['for instance  when you have a class diagram with a class on it  if you double click on it  it will open a menu to manage add navigation links  once you have added one of them  if you double click again it will not display the same navigation mangement menu  only a menu to navigate on hyperlinks  so you are not able anymore to add modify the navigation links   on windows  if you click with alt  it opens again the navigation management menu  but not under linux  the key binding seems not to be defined   perhaps it could be good  to add on the overlay menu the hyperlink management shortcut   moreover the navigation menu  when using multiple screens is not attach with the good one '],1
212,525598.0,522200.0,0.012709175423239336,['Support for C++17 structured bindings'],['currently eclipse cdt can t parse c    structured bindings and reports them as errors  e g  std  tuple int  int  foo   void bar    auto  x  y    foo      it would be nice to support c    syntax '],['[C++17] Add support for structured binding declarations'],['proposal link   http     link    current draft      source declarators tex    example    include  tuple   std  tuple int  float  f        return                void g        auto  a  b    f                          error here  '],1
213,525738.0,518218.0,0.01172785467732365,"['Having ""parameters=true"" is ignored by M2E']",['setting the configuration parameter   parameters true  parameters   does not enable the option  store information about method parameters    on java projects '],"['Automatically set ""Store information about method parameters"" compiler option']",['it s currently possible to configure javac to include parameter information in compiled bytecode as follows     plugin    groupid org apache maven plugins  groupid    artifactid maven compiler plugin  artifactid    configuration     compilerargs      arg  parameters  arg      compilerargs     configuration    plugin   there s also an upcoming  parameter true  parameter  option in the compiler plugin     it would be nice if the   could automatically use these options to set the  org eclipse jdt core compiler codegen methodparameters generate  option in  org eclipse jdt core prefs  so that the eclipse compiler behaves in the same way '],1
215,525993.0,525750.0,0.007635045868407416,['[18.3] Implement Local Variable Type Inference'],['see jep     extend type inference to declarations of local variables with initializers '],['JEP 286: Local-Variable Type Inference'],['filing against jdt core for now  will have to open specific bugs for the ui part '],1
216,526250.0,525432.0,0.0017117942671808417,['12 compile warnings in official build'],['       testresults php'],['Fix compile warnings in official build'],['       testresults php  fix compile warnings in official build '],1
217,526459.0,526458.0,0.008636359483283954,['Additional Git repository needed'],['an additional git repository with the name  portalfe  needed  please provide on  thanks '],['Additional Git repository needed'],['an additional git repository with the name  portalfe  needed  please provide on  thanks '],1
218,526461.0,526462.0,0.011631374587310327,['[Sequence Diagram] At message creation a minimum space should be add below it'],['a minimum space below created message should be add if there is a element just below it '],['[Sequence Diagram] At message creation a minimum space should be add below it'],['a minimum space below created message should be add if there is a element just below it '],1
221,526807.0,516700.0,0.007886111681607973,"['Spellchecker missing word ""opinionated"".']",['i will try to upload a patch to add it '],['[spell checking] Add more words to the spelling dictionary'],['cloned from      spell checking  add more words to the spelling dictionary   bug cgi id    the word  facultative  in a text entry area is reported as incorrectly spelled        configuration details    product  eclipse             installed features   org eclipse platform          '],1
222,527168.0,513940.0,0.010306114798458249,['Incorrect sorting of initializers'],['option  do not sort fields  enum constants  and initializers  checked   my preferences    types   static fields   fields   static initializers   initializers   constructors   static methods   methods    file before sorting   public class example     private static int n        private int i        static           public example       private static void x       private void y          file after sorting   public class example     private static int n        static      private int i             public example       private static void x       private void y          obviously this is wrong '],['[reorg] Initializers are sorted even though relevant option is not checked'],['i use the sort members feature with the option  do not sort fields  enum constants  and initializers  checked     my member sort order according to the preferences is    types   static fields   fields   static initializers   initializers   constructors   static methods   methods    this is the class body before using the sort members feature   public class example     private static int n        private int i        static           public example       private static void x       private void y          i expect no change when using the sort members feature  yet       this is the class body after using the sort members feature   public class example     private static int n        static      private int i             public example       private static void x       private void y          thanks for reading '],1
224,527377.0,527376.0,0.010597093585747884,['unable to wipe workspace'],['i am unable to wipeout workspace one th job     job   unit       can you please clear the worspace'],['Stalled nfs'],['platform hipp has stalled nfs    unit       console whic prevents job from starting  i ve tried wiping the workspace but hudson can t perform it '],1
225,527427.0,522216.0,0.009065970282587838,['[C++17] Add support for constexpr if'],['cdt is currently missing support for c    constexpr if statements   see    constexpr if'],['[C++17] Add support for if with initializer'],['proposal     std org       docs papers     html  example code     if statements with initializer'],1
227,527520.0,530650.0,0.014851112546702802,['Migrate webtools from HIPP to JIPP'],['as the new releng guy for wtp  i d love to be able to use jenkins instead of hudson to manage our builds    '],['Batch migration of HIPPs on host machine hipp10'],['this will affect the following projects           acceleo    capra         efm    hawkbit    ocl    tcf    tm         usssdk    viatra    webtools  the migration is planned for    monday  february       it might be split up into two batches  the second batch will be handled on    tuesday  february        during the migration the hipps will be offline for a few hours  the job configurations will be converted to a format that is compatible with jenkins  except for some very exotic configurations this works fine  so in the best case scenario  everything will work as before  in case it does not  we will support the projects to fix any issues   hipps will be migrated to the latest lts version of jenkins  most plugins work just as before   if you have planned important releases or other concerns  please let us know   this ticket tracks the efforts '],1
228,527636.0,511390.0,0.01273459454060669,['Uploaded user image not used - but (non existing ) gravatar'],['at     comment   and     my uploaded user image is not shown but a non existing gravator icon  but     edit shows up my uploaded picture  looks like a bug '],['Remove profile pictures from sites if the user deleted their profile picture on accounts.eclipse.org'],['summary says it all   i was asked to provide a picture but could not find a way to do this via portal or pmi  i heard some rumors about gravatar  but that s not where i should be forced to go when i want to upload a picture to my eclipse account   and i definitely won t do that '],1
230,527742.0,515600.0,0.01357661374474633,['[1.8][inference] regression since the fix for Bug 502350'],['from    cannot infer type arguments for hashmap         import java util stream    import java util     class test        public static void main             map integer  string  map   new hashmap             map put           map put           map put           map put        the following line has error         map string  arraylist integer   reversemap   new java util hashmap    stream                   collect   values  stream                   collect  getvalue                           item    new arraylist    map  collect                 system out println                    starting with the fix for bug     ecj fails to infer the diamond  complaining                error in  tmp test java           map string  arraylist integer   reversemap   new java util hashmap    stream                   collect   values  stream                   collect  getvalue                           item    new arraylist    map  collect                                                                                                                                                                                                                                                                                                                                                                                                     cannot infer type arguments for java util hashmap             '],['[1.8][inference] inferencing issue when building project reactor-core'],['i am trying to build the reactor core   module of project reactor in eclipse   building it with neon   there are   inferencing errors    building it with a more recent oxygen gives me just   errors  i m trying           i m trying to distill it down but it seems to be quite subtle  i m raising an issue in case from this description it is enough to make it obvious what is wrong or that it is a dup of something  here is a cutdown version   of what is in reactor that fails in the same way   flux from s           assertions assertthat           this piece of code gets all red underlines and   cannot infer type argument  for  t  from    scan       scan is declared as    t  t scan    return  null     if i make it simply  boolean scan    return null     and adjust the calling code to use that variant  the error is gone     assertthat             if  instead of calling  assertthat  in assertions  i create a method in the same class as my failing code that simply acts as a delegate     public static abstractbooleanassert           return assertions assertthat      flux from s                     then the error goes away      for reference  from  is declared as   public static  t  flux t  from      to import reactor core i simply cloned that project  ran    gradlew eclipse  and imported the result as an eclipse project '],1
231,527863.0,526754.0,0.01113105376018758,['[9] TestRunSessionSerializationTests3 / 4 have failures when run on JDK 9'],['when running   and   on jdk      i see a total of   failures   all failures are simple differences in whitespace in xml '],['[9] Fix TestRunSessionSerializationTests that fail with JRE 9'],['    this bug was initially created as a clone of bug         the following tests are failing when run with jre       testalltests   testfailures   testalltests   testfailures'],1
233,528203.0,528205.0,0.0036295485284551145,['Error message not shown on first editor opened'],['if   getbounds  height         mergedlist isempty     mergedlist   null    form setmessage      return   '],['Error message not shown for first editor opened'],['i am creating an object editor that implements iworkbenchpart using a managedform and multiple composites   while building the editor contents i am also performing validation of the object and potentially adding error messages to the managedform s messagemanager   when opening the editors for two different objects  both of which should produce validation messages  however i observe that regardless of the order that i open the editors the first editor opened does not show the messages     debugging through i found that the messagemanager will only add messages if the the form s head height is not zero   below is the code of concern    if   getbounds  height         mergedlist isempty     mergedlist   null        form setmessage       return     combing through available resources i found a single stackoverflow question that also posited that it was odd that messages wouldn t be added if the head height is zero     message manager displays messages only as field decorators and not in header'],1
234,528394.0,527596.0,0.004430488083356773,['Migrate Platform HIPP to JIPP'],['please migrate   to jipp'],['Migrate Platform HIPP to JIPP'],['i suggest we also move the platform jobs to a new jipp '],1
236,528683.0,517671.0,0.009905199994380654,['[GTK3] Editor panes are flashing drastically'],['here is a video        it makes working almost impossible  this is on debian rodete '],['[GTK3] flickering for no reason under Linux (see comment 50 for fix)'],['created attachment   a video of the issue  under linux       open a sirius diagram     do nothing    after a while the diagram starts to redraw several times for no apparent reason  causing very annoying graphical flicker    note that during the video there is absolutely no user interaction except a little mouse movement     this seems   specific  as the call stack seems to  start  in org eclipse swt widgets widget windowproc   specifically   long   int   windowproc       switch       user data        case expose event inverse          if             if      os gtk is container                return gtk draw           here               '],1
238,528865.0,528863.0,0.01188023507274647,"['git push returned change URL but still failed, and URL results in ""not found""']",['jgit   git push origin head refs for master counting objects     done  delta compression using up to   threads  compressing objects        done  writing objects          bytes       kib s  done  total      reused     remote  resolving deltas       remote  processing changes  new     refs     done remote             remote  reviewing commit    remote  authored by  david pursehouse  david pursehouse gmail com  remote  remote  the author is a committer on the project  remote  remote  this commit passes eclipse validation  remote  remote  new changes  remote       pushconnectiontest  increase maxcommandbytes yet again remote  to ssh   git eclipse org   jgit jgit     remote rejected      head    refs for master   error  failed to push some refs to  ssh   dpursehouse git eclipse org   jgit jgit '],['Cannot push changes for review due to internal server error'],['i hit an internal server error when trying to push a series of commits to review for the jgit repository using egit   repository   internal server error  error inserting change patchset  when repeating this using git command line  this also fails   jgit     git push origin head refs for master counting objects     done  delta compression using up to   threads  compressing objects        done  writing objects            kib       mib s  done  total      reused     remote  resolving deltas       remote  processing changes  refs     done to       remote rejected      head    refs for master   error  failed to push some refs to    '],1
242,529495.0,510047.0,0.011695166844351028,"['Eclipse Marketplace unable to search ""Darkest Dark w/DevStyle"" plugin for lowercase search string ""devstyle""']",['in eclipse marketplace  provide search string under  find  as  devstyle     expected   darkest dark w devstyle  plugin should be returned  actual  search doesn t fetch any results   gif    '],['Using a forward slash in the search string results in error'],['using eclipse         market place client            using a forward slash in the search string results in error  for example  c c     since the cdt entry is called  eclipse c c   ide   it is easy to hit that problem   resource not found    search c       client org eclipse epp mpc core client version           os macosx ws cocoa nl en us java version       product org eclipse platform ide product version           runtime version           platform version             search c       client org eclipse epp mpc core client version           os macosx ws cocoa nl en us java version       product org eclipse platform ide product version           runtime version           platform version          '],1
243,529557.0,527896.0,0.011886570682697157,"['New ""Open a Terminal"" icon appears on my Eclipse toolbar.']",['created attachment   error'],['Increasing multiple command icons in tool bar'],['created attachment   image showing multiple marketplace icons in toolbar  the set of marketplace icons keeps growing over time  not sure what causes it  i have   now '],1
244,529561.0,528208.0,0.008212572602048501,['Show all search results does not work'],['since bugzilla was updated the  show all search results  functionality in bugzilla does no longer work      bug status unconfirmed bug status new bug status assigned bug status reopened limit   list id   order changeddate         product tmf product xtend query format advanced'],"[""Can't display query with more than 1000 results""]",['loading a query like   bug status unconfirmed bug status new bug status assigned bug status reopened classification eclipse component swt list id   product platform query format advanced which has more than   results in first   being shown with link  see all search results for this query   shown at the top of the search page  clicking it does nothing though   still only   bugs shown '],1
245,529775.0,522405.0,0.00957682280802974,"['[9] Make ""Dependencies"" available in JUnit Launch Configurations']",['just as for  java application  launch configurations  the  dependencies  tab should be shown for  junit  launch configurations '],['[9] JUnit should set classpath and modulepath during launch'],['org eclipse jdt junit launcher junitlaunchconfigurationdelegate launch  needs to adapt changes for java   and set classpath and modulepath   also the classpath tab should be changed to dependencies for java   like java application run configurations '],1
246,530186.0,530187.0,0.008713809672101858,['Java 9 test results shown in GTK3 Java 8 row too'],['see        '],['Java 9 test results shown in GTK3 Java 8 row too'],['see        '],1
247,530196.0,514620.0,0.014960237870762642,['[Table] [Tree Table] Synchronisation is not work very well between a model and a opened tree table'],['i have a customized tree table with two depth levels  classes   represent the first depth level  properties   represent the second depth level   the synchronisation between model and opened tree table is not work very well    step    create a model  step    create a tree table and let it opened  step    create a father        o k   the table is synchronised   step    create a child     in      k o   the table is not synchronised     step    create a child     in      o k    step    create a father        o k    step    create a child     in      k o     is displayed as child of       step    remove   and   of      o k    step    create a child     in      k o     is displayed as child of       step    remove all children      o k    step    create a child     in      k o   the table is not synchronised   '],['[SysML1.4][Table] Child Requirement duplication'],['created attachment   this image roughly shows how to reproduce the bug  when i have   or more requirements at the root tree level in a requirement tree table and i create a child requirement inside the second  third     root level requirement  it always gets added to the first too '],1
249,530386.0,530387.0,0.005524427866736084,['[GTK3] Replace deprecated gdk_display_get_device_manager()'],['gdk display get device manager  has been deprecated since     '],['[GTK3] Replace deprecated gdk_device_manager_get_client_pointer()'],['gdk device manager get client pointer  is deprecated as of     '],1
250,530435.0,530422.0,0.00862081811039317,['Cannot access RedDeer JIPP'],['reddeer jipp is inaccessible   i cannot stop restart it via web ci control   output text is  your request to restart hudson has completed  output text  permission denied      can you please take a look  '],['HIPP5 is down'],['i m getting   your request to restart hudson has completed  output text  permission denied     jonah was able to do it the other day '],1
251,530458.0,530464.0,0.014009697371900196,"['When installing WTP 3.10.M5 smoke test candidate, could not find org.eclipse.jetty.webapp [9.4.7,10.0.0)']",['as reported by rob stryker  when installing wtp       smoke test candidate  could not find org eclipse jetty webapp               '],['WTP update site should include redistribution of Jetty 9.4.7'],['wtp depends on jetty     x  but it s not included upstream in photon already  as jetty isn t part of the simrel train   so    we need to include jetty in the update site so it s available at install time  and included in photon '],1
